Тематика,Текст обращения,Количество комментариев,Количество репостов
Культура,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",7,20
Культура,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",19,50
Социальная поддержка,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",39,3
,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",84,9
Безопасность,"Транспорт ходит с большими задержками, особенно в вечернее время.",150,29
,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",17,45
Культура,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",300,10
Культура,,14,7
Безопасность,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",66,12
Транспорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,85,12
Социальная поддержка,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",150,44
Спорт,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",91,29
Здравоохранение,Примите меры! В школе не хватает учебников для учеников 7-х классов.,6,43
Экология,Примите меры! В школе не хватает учебников для учеников 7-х классов.,49,33
Здравоохранение,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,300,3
Спорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",39,100
ЖКХ,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",54,46
Образование,"Транспорт ходит с большими задержками, особенно в вечернее время.",40,25
Культура,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",89,7
ЖКХ,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",64,7
Экология,"Транспорт ходит с большими задержками, особенно в вечернее время.",47,4
Здравоохранение,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",10,4
Культура,Примите меры! В школе не хватает учебников для учеников 7-х классов.,53,37
Социальная поддержка,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",6,150
Безопасность,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",3,46
Социальная поддержка,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",55,29
Спорт,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,87,28
Культура,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",21,12
Транспорт,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",32,35
Безопасность,Погибли бездомные животные из-за отравления. Кто отвечает за это?,15,16
ЖКХ,"Транспорт ходит с большими задержками, особенно в вечернее время.",98,2
Культура,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",3,6
Экология,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,90,12
Социальная поддержка,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,50,14
Благоустройство,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",63,21
Благоустройство,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",31,26
Здравоохранение,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",92,46
Благоустройство,"Транспорт ходит с большими задержками, особенно в вечернее время.",86,6
,,31,43
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,22,16
Экология,Погибли бездомные животные из-за отравления. Кто отвечает за это?,11,15
Спорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,98,10
Безопасность,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",63,44
Благоустройство,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",14,150
Здравоохранение,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",54,5
Культура,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,2,25
ЖКХ,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",80,38
Здравоохранение,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",68,3
ЖКХ,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",36,32
Образование,"Транспорт ходит с большими задержками, особенно в вечернее время.",88,28
Здравоохранение,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",0,18
Спорт,"Транспорт ходит с большими задержками, особенно в вечернее время.",36,10
Культура,"Транспорт ходит с большими задержками, особенно в вечернее время.",38,21
Образование,Примите меры! В школе не хватает учебников для учеников 7-х классов.,49,150
,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,76,33
ЖКХ,Примите меры! В школе не хватает учебников для учеников 7-х классов.,75,150
Социальная поддержка,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,8,33
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,63,44
Благоустройство,Примите меры! В школе не хватает учебников для учеников 7-х классов.,34,13
ЖКХ,Погибли бездомные животные из-за отравления. Кто отвечает за это?,3,42
Транспорт,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",62,28
,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",74,30
Экология,"Транспорт ходит с большими задержками, особенно в вечернее время.",11,36
Спорт,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",82,1
ЖКХ,"Транспорт ходит с большими задержками, особенно в вечернее время.",5,15
Здравоохранение,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,26,6
Спорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,71,9
Спорт,"Транспорт ходит с большими задержками, особенно в вечернее время.",56,11
Благоустройство,"Транспорт ходит с большими задержками, особенно в вечернее время.",88,13
ЖКХ,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,79,5
Транспорт,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,67,50
Безопасность,Погибли бездомные животные из-за отравления. Кто отвечает за это?,79,39
,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",26,27
Спорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,43,32
,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,26,11
Социальная поддержка,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",84,28
Экология,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",66,0
Безопасность,Примите меры! В школе не хватает учебников для учеников 7-х классов.,59,45
Безопасность,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",19,44
Культура,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,85,3
Спорт,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,37,7
Экология,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",73,0
Культура,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",31,9
Социальная поддержка,Примите меры! В школе не хватает учебников для учеников 7-х классов.,27,200
,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",63,10
ЖКХ,,93,15
Здравоохранение,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,82,21
Спорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",73,150
Спорт,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",59,6
Спорт,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",75,34
Спорт,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",91,200
Социальная поддержка,Погибли бездомные животные из-за отравления. Кто отвечает за это?,72,15
Образование,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",42,48
Экология,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",50,5
Культура,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",61,40
Образование,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,7,39
ЖКХ,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",37,34
Транспорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,78,34
ЖКХ,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,0,18
Благоустройство,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,84,46
Образование,"Транспорт ходит с большими задержками, особенно в вечернее время.",22,47
Экология,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",78,15
Экология,Примите меры! В школе не хватает учебников для учеников 7-х классов.,13,29
Здравоохранение,"Транспорт ходит с большими задержками, особенно в вечернее время.",67,5
,Погибли бездомные животные из-за отравления. Кто отвечает за это?,78,14
Культура,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,88,0
Социальная поддержка,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",77,22
Культура,Примите меры! В школе не хватает учебников для учеников 7-х классов.,61,19
Безопасность,Примите меры! В школе не хватает учебников для учеников 7-х классов.,16,42
Спорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,30,42
ЖКХ,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",300,4
Экология,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,300,21
Спорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",11,18
Экология,"Транспорт ходит с большими задержками, особенно в вечернее время.",43,49
Благоустройство,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",77,38
Благоустройство,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",97,36
Транспорт,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",1,20
Экология,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",17,2
Образование,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",36,25
Благоустройство,Погибли бездомные животные из-за отравления. Кто отвечает за это?,63,23
Безопасность,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",2,37
Образование,,53,24
Здравоохранение,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",79,8
,Погибли бездомные животные из-за отравления. Кто отвечает за это?,85,38
Социальная поддержка,Погибли бездомные животные из-за отравления. Кто отвечает за это?,74,2
Социальная поддержка,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",200,19
,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,26,5
Благоустройство,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",60,31
Социальная поддержка,Примите меры! В школе не хватает учебников для учеников 7-х классов.,85,31
Транспорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",68,19
Благоустройство,Примите меры! В школе не хватает учебников для учеников 7-х классов.,98,47
Благоустройство,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,3,2
Социальная поддержка,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",200,7
Образование,"Транспорт ходит с большими задержками, особенно в вечернее время.",74,35
Спорт,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,23,42
Социальная поддержка,Примите меры! В школе не хватает учебников для учеников 7-х классов.,71,5
Транспорт,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,53,14
Благоустройство,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",100,200
Образование,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,46,48
Транспорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",84,43
Экология,"Транспорт ходит с большими задержками, особенно в вечернее время.",33,26
Культура,Примите меры! В школе не хватает учебников для учеников 7-х классов.,67,14
Социальная поддержка,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,3,44
Безопасность,,72,18
Образование,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",73,44
,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,69,46
Культура,Примите меры! В школе не хватает учебников для учеников 7-х классов.,25,45
,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",38,0
Безопасность,Погибли бездомные животные из-за отравления. Кто отвечает за это?,52,36
