Учебное заведение,Город,Год участия,Максимальный балл за все задания,Максимальный балл за теоретическое задание,Максимальный балл за практическое задание,Количество участников,Пол,Количество победителей,Количество призеров,Максимальный балл участника за оба задания,Теоретическое тестирование,Максимальный балл участника за практическое задание,Анализ информационных моделей,Поиск информации в реляционных базах данных,Кодирование и декодирование информации,Определение результатов работы алгоритмов,Работа с таблицами,Поиск символов в текстовом редакторе,Организация компьютерных сетей. Адресация,Программирование,Безопасность данных
Чистопольский сельскохозяйственный техникум,Чистополь,2019,80,50,40,2,м,1.0,1.0,65.07773308832466,23.50782066937785,30.606760307227894,3.6847961744710203,7.157253274211133,2.219306401510762,4.547320526735763,5.909609471879595,5.582842732131735,9.760049975642428,7.987116440449374,5.404224086265894
Казанский авиационно-технический колледж,Казань,2022,100,40,40,4,ж,1.0,0.0,56.648513914023546,29.376032991174668,24.509600687152396,2.0366826320803835,3.004559399004714,2.297241899454309,4.23180640033444,8.69640309913877,9.030749120420683,3.537192580367197,5.3171137460732485,3.651706592605054
Казанский медицинский колледж,Казань,2022,60,50,40,2,ж,0.0,,52.7832343099721,27.688826065465108,21.461690662654767,8.817423523994698,5.291361221768102,3.975576078233196,6.248767130495993,7.980435091536025,8.110600763672702,2.01851150001146,7.2808754465660455,8.714918896973085
Чистопольский механический колледж,Чистополь,2024,80,30,40,4,ж,0.0,,56.171214380190435,13.066602179241176,24.905064988557022,2.280610277043258,6.940073910953427,8.734588098120371,8.741531017079254,9.992692539040018,4.979427797095701,5.5718111563556505,6.86952543900719,5.454561568478871
Набережночелнинский политехнический колледж,Набережные Челны,2020,100,50,30,4,м,3.0,1.0,43.376023227271425,40.80100641703822,24.304096174979794,9.664810679687495,4.05175710428115,7.661039704351012,6.0532559441585585,6.287840246134886,3.736197198893872,8.110465845871138,3.8826431650387097,4.288770886451272
Казанский колледж информационных технологий,Казань,2018,60,40,40,2,ж,2.0,2.0,31.187120035491187,35.842760866968675,13.336963876322173,8.0829798574103,9.786333231477135,2.935114948940008,3.268782871062771,2.78197965135079,2.170178373305868,2.948209012766271,6.077589239997399,7.595801915749598
Набережночелнинский машиностроительный техникум,Набережные Челны,2022,60,30,30,4,ж,3.0,1.0,49.847820754459214,27.107717544583487,22.637055006777796,9.68721418904838,3.73240955834716,6.042090953004647,3.3496254102879695,6.413109946680404,3.5547974038182124,6.576506490527374,6.226198264653072,4.386653924497927
Набережночелнинский машиностроительный техникум,Набережные Челны,2024,60,30,50,2,ж,1.0,1.0,39.96804346031627,10.165516910810021,17.771288365573877,5.188563235970579,7.999424182224407,5.052546915980129,7.431700183054394,8.131663861828189,3.790199201079706,3.182939047455598,9.680831636184905,6.671826762709868
Чистопольский сельскохозяйственный техникум,Чистополь,2020,80,40,40,1,м,1.0,1.0,45.80615457244555,20.99984537631395,23.444345302967243,9.697301644515035,3.5535852198634226,9.069459563807797,3.031272566320208,3.308547144482219,8.741775535633924,2.9645700890413975,6.7762918448039215,7.339367557042421
Альметьевский политехнический колледж,Альметьевск,2023,60,50,50,2,ж,0.0,,49.370534790852695,20.002286707565634,44.532544362840326,7.633174704050003,4.806015828034192,4.629367304071098,8.39617523534682,5.691184636544475,3.130387361241225,6.500783243094855,7.162324189358079,7.1030721123766885
Альметьевский политехнический колледж,Альметьевск,2020,100,50,50,5,ж,1.0,0.0,69.31134056035874,44.51211847721158,48.04179208039707,3.55140105518118,8.141330839659947,5.964128084960189,3.090326989643258,8.375015882479564,5.203311730458877,5.735969813281696,3.9248986007492537,9.982324107716469
Набережночелнинский строительный колледж,Набережные Челны,2022,60,40,50,1,м,1.0,1.0,52.318853440286404,30.70594966510681,26.99373015414263,3.3527359021226033,6.5711352952673785,3.045157716226085,7.501574892283145,6.476889768895157,4.292807990002431,4.004559020080379,2.8370345872918827,4.118214847096797
Набережночелнинский медицинский колледж,Набережные Челны,2021,100,30,30,1,м,0.0,,72.54399350267819,12.881473875184977,15.554004388440813,5.943795805660128,7.117920963319815,5.710164822609076,9.391469260930695,8.919249273193373,5.1014304985046515,9.249063081209355,9.513879907571823,9.2864869151263
Набережночелнинский машиностроительный техникум,Набережные Челны,2018,100,40,40,4,м,0.0,,75.76703351553836,16.41839531565607,14.458822818301043,8.572055430196695,6.604501109427998,2.0589771272756963,3.4272211905896546,6.884217962205739,4.842026353895413,6.291836560765803,7.271089138900538,3.9540272538297767
Чистопольский сельскохозяйственный техникум,Чистополь,2019,80,50,40,4,ж,3.0,0.0,52.4339245076917,48.089357441117784,14.368140485068746,5.697122576403382,2.828243475800476,3.454271709970591,3.6464003999675993,2.690238876091674,2.568711759529914,4.70531365131379,2.9006383127826645,4.942884287141371
Набережночелнинский машиностроительный техникум,Набережные Челны,2024,80,50,40,3,м,2.0,2.0,67.69371627199814,28.58429820098964,18.661374925557165,5.707987491089581,2.9928326955491595,3.0607068338138665,6.728626755031929,5.107146229797795,2.6411417639072488,9.234428933647322,9.099438338959065,6.435105162308321
Набережночелнинский политехнический колледж,Набережные Челны,2023,100,40,40,0,,,,,,,,,,,,,,,
Казанский энергетический колледж,Казань,2018,100,50,40,0,,,,,,,,,,,,,,,
Казанский колледж информационных технологий,Казань,2020,60,30,50,0,,,,,,,,,,,,,,,
Альметьевский государственный нефтяной институт,Альметьевск,2018,80,50,40,4,ж,3.0,1.0,72.2907567015927,10.48651139450627,15.900665360431553,2.5600319632997888,4.126917120945539,7.505421521818744,5.247257859635144,4.713563096248878,9.84263058509654,3.834167092245414,3.4129353579755124,3.910474267528511
Чистопольский механический колледж,Чистополь,2022,100,40,40,0,,,,,,,,,,,,,,,
Альметьевский государственный нефтяной институт,Альметьевск,2019,60,40,50,2,ж,1.0,0.0,35.82369724598555,20.203229872021573,21.964121271133315,3.0820348114412957,9.628448008966508,6.771541929964296,2.6561218758579637,5.62504189486692,8.297734440163595,6.683032338838234,5.4911978588584,5.403456789802806
Набережночелнинский педагогический колледж,Набережные Челны,2021,60,50,50,2,ж,0.0,,59.419541289087476,18.678506622087177,49.73853986030768,5.892836102592596,2.1881064528858944,3.659547754079899,8.990351225479285,5.236543026082169,6.075676983131262,5.892720795293574,3.884313145318475,7.288789640835212
Альметьевский медицинский колледж,Альметьевск,2019,100,40,30,5,м,3.0,0.0,74.27175126212288,12.362521929603918,24.8772897817248,7.848600374546246,2.2185266522082125,9.836928486018735,6.816168355071498,7.32812113162383,5.592448663232115,6.929925785409907,6.65848685841025,3.1159765491929514
Казанский автотранспортный техникум,Казань,2020,100,30,30,5,ж,0.0,,56.81490786962789,19.423597565718488,21.74532148796859,8.301394037721163,3.2874657085784094,5.406576322464711,2.404413048228472,8.397779703941488,4.547094566781734,9.210982632502091,3.212499077843847,7.700951466283561
Альметьевский государственный нефтяной институт,Альметьевск,2023,80,50,50,4,ж,0.0,,38.35523531026899,39.91500994366636,45.99166180192263,2.830155108855287,4.787918757456787,2.519717856301951,3.752482188725887,4.573268598820994,7.454912028139001,3.5584940062722987,9.97372993316034,3.6327283122748995
Казанский строительный колледж,Казань,2018,60,50,50,1,ж,1.0,1.0,39.44048792559478,22.50253871324574,36.05664720860029,5.688509312013082,2.8463924905705316,3.8103839347956416,4.974670618375366,9.497815773891752,2.2744964696543537,8.230913569983073,4.068036821210837,5.343849767703268
Казанский энергетический колледж,Казань,2020,80,30,40,2,м,1.0,0.0,37.19341543559032,19.295046472923968,16.992086946409955,6.658119282893611,3.177607396657951,2.8420311900324826,8.13471624118074,6.543112955444574,6.6155522575073515,3.159475209552194,4.222977842579453,4.099818965995527
Альметьевский политехнический колледж,Альметьевск,2020,60,50,30,3,ж,0.0,,55.91199904265545,37.61213226054558,29.44350641415108,2.88204878024301,8.789562282429866,5.4311507505261725,5.6513845624108745,9.693705280731503,4.041647197091161,9.92405092297312,8.384329685887916,5.463928131764052
Чистопольский механический колледж,Чистополь,2021,80,50,30,3,ж,2.0,1.0,45.19172703458871,12.347266349650944,27.544429165803145,5.722103064202761,3.7986078554680462,8.0572669514465,3.45159289041218,6.409980907738872,5.421594495175471,3.990791390530248,7.889636999621243,9.520337151833376
Альметьевский государственный нефтяной институт,Альметьевск,2024,60,30,50,0,,,,,,,,,,,,,,,
Набережночелнинский машиностроительный техникум,Набережные Челны,2019,80,30,40,3,ж,3.0,3.0,63.63139640217224,13.209337033174018,21.5945640128732,4.413316010879067,4.36333968029829,5.241744875923681,6.598869200340136,9.1806755735762,9.579994571965504,2.3049104026713234,8.324354774655086,4.739237633924555
Набережночелнинский политехнический колледж,Набережные Челны,2018,100,40,30,5,ж,3.0,3.0,80.75675287741186,35.34049069268654,27.001699829041247,6.711232102616051,8.297195403836389,6.057492363325927,5.7809859007274795,8.470716790881603,9.636291831048405,2.6308658860625966,2.2663444618134196,9.392539942843046
Альметьевский государственный нефтяной институт,Альметьевск,2020,60,40,40,2,м,1.0,1.0,58.71659999601877,39.783817274577416,12.964970099799304,3.723861764888702,8.093496931449693,7.977477780087338,5.809873135158431,7.561834082212001,4.059928565129153,3.1674003175184158,3.24649463956166,6.608552083018254
Набережночелнинский педагогический колледж,Набережные Челны,2019,100,40,40,5,ж,4.0,1.0,86.13644911146991,18.988169625907975,15.304847532269198,3.2887798372666914,3.6575252084580807,6.836275415799868,6.426423591007763,5.7181430819538965,3.2419303784634135,3.564264979137792,8.215907645433328,4.252211436045057
Казанский автотранспортный техникум,Казань,2024,100,30,30,2,ж,2.0,1.0,87.2639173815266,19.581753524421288,28.133954841749947,3.577352644193004,8.106570556377687,5.3146124454632,7.926809007541114,3.2371908833552405,3.1866488951436347,6.950158361331369,6.998287716736913,7.039871955168109
Казанский колледж технологий и дизайна,Казань,2018,100,40,40,3,м,3.0,2.0,56.620272609636395,24.138618747690863,29.366310968652797,3.884898949665166,5.930946791727367,5.148960563347058,2.1388308667492097,4.881577169061753,3.24487044981596,2.6745873982532657,4.896541822533424,6.152411486031162
Набережночелнинский педагогический колледж,Набережные Челны,2024,60,30,30,2,м,0.0,,32.547421244146726,16.572083632168123,16.13094619444812,9.611636419227938,5.551015159572131,5.462005087239472,9.859334617314556,5.205600228609189,8.841872505193235,3.947401546638716,8.074853008705354,5.624228195454101
Набережночелнинский политехнический колледж,Набережные Челны,2024,100,30,40,2,ж,0.0,,70.97081017840132,11.91679314422031,26.157440925853294,2.6223688933018305,7.338372247080292,7.082734067062682,3.576966630507023,3.0945138486421744,8.952554574873915,8.261805535603308,9.052999763748671,8.586306284726886
Казанский медицинский колледж,Казань,2024,100,40,50,0,,,,,,,,,,,,,,,
Чистопольский механический колледж,Чистополь,2020,80,40,50,2,ж,1.0,0.0,79.0476086670126,11.787399801416713,14.131758921144634,8.045745376021884,7.059541572609563,6.144164566625388,4.961236142439528,6.378656520342802,4.489911559558807,3.9459491076815336,4.179810932655099,4.399414173094873
Альметьевский политехнический колледж,Альметьевск,2022,100,40,40,0,,,,,,,,,,,,,,,
Чистопольский механический колледж,Чистополь,2022,60,50,50,4,ж,3.0,1.0,58.14758769015464,32.43384312680379,33.320296458672736,8.150553429571097,3.163714969623441,8.530916526654657,9.718442636271414,3.53534120721484,9.579974219708191,7.939781969171146,8.493275391325799,4.620299334691002
Казанский колледж технологий и дизайна,Казань,2019,100,30,50,0,,,,,,,,,,,,,,,
Чистопольский механический колледж,Чистополь,2020,100,30,50,2,м,2.0,0.0,82.39198106669399,14.351488495165164,35.522197803431595,9.624408322915176,6.041394223751197,2.2660374089728172,3.5317405318890316,8.696169197707189,2.9076202732982104,3.333524305100502,2.0344965639443977,6.773749974384553
Набережночелнинский строительный колледж,Набережные Челны,2018,80,30,30,4,м,3.0,3.0,57.47896014442823,18.371177095640416,23.197174317416874,9.634684170549196,8.062762007277627,5.215566123043038,6.064796758922391,9.530043350060172,2.9269195038348137,9.89003076722645,9.7330876305614,6.9225959529825865
Набережночелнинский политехнический колледж,Набережные Челны,2020,80,30,50,5,ж,4.0,3.0,66.2549907836586,25.529229846217326,44.888154027013286,7.1266485903543115,7.048577182371614,6.13456670078198,8.509316290151041,2.5599486542828513,2.406985626051794,2.3376212709971416,2.4850686057377436,3.185341058452405
Казанский строительный колледж,Казань,2024,60,30,50,2,ж,0.0,,56.34369071143574,25.172873606493994,27.472346473886994,6.226059322864636,6.261140696888021,6.672831598957536,8.481177440984144,5.4296742944864675,9.325110174648422,8.480409414484384,8.80212549948164,5.756474284258803
Альметьевский медицинский колледж,Альметьевск,2024,100,30,50,1,ж,1.0,0.0,49.817712867888275,19.178917721573658,12.174673938693514,9.178617005731361,6.409123911743221,6.449549895396913,4.755790193054446,3.837468555435347,5.202034674446052,4.804468962103024,2.9103006944786545,5.99899292674379
Альметьевский государственный нефтяной институт,Альметьевск,2020,80,50,30,0,,,,,,,,,,,,,,,
Казанский педагогический колледж,Казань,2021,60,40,50,3,ж,2.0,0.0,51.35467405490115,35.70157340448441,38.324279270233156,2.776826291164519,9.358956167881946,3.672363118567346,9.370821218767912,9.443969156151299,9.682061225846546,9.602838195143189,7.464085281083955,8.065865666594295
Альметьевский политехнический колледж,Альметьевск,2024,60,30,50,3,ж,3.0,2.0,35.86522165397306,23.988000057717905,35.40950505666,4.149590176195181,9.171263075486038,6.869318705134354,7.0237837621273815,8.849391838008067,7.190293517441732,7.7570061961984855,3.668057570361828,4.129273916148362
Казанский медицинский колледж,Казань,2019,100,50,40,0,,,,,,,,,,,,,,,
Чистопольский сельскохозяйственный техникум,Чистополь,2022,60,30,30,4,ж,4.0,2.0,48.60984880774501,26.236258640693922,13.478441352586145,6.667284997390334,3.606617057203154,6.969959881864514,8.469446455175625,8.338251496370898,2.308568055534142,6.758275658168838,8.712485914238183,8.89732333218544
Чистопольский сельскохозяйственный техникум,Чистополь,2021,80,30,50,2,м,2.0,1.0,35.66083094225642,19.701872434993756,39.36353233558075,8.208103111606817,6.12329347838292,6.367169930931736,4.2557659090369775,6.798032623278033,5.29089887772613,7.9791389721359485,8.032703363374567,7.53141836256191
Казанский авиационно-технический колледж,Казань,2023,80,50,30,1,ж,0.0,,62.59098997015465,13.32975494044688,23.947831203839527,2.869769127968958,6.174623943971297,3.277286374906863,6.995569724189981,8.379571167735337,6.5374447200136645,5.2931007065300815,7.11873069469602,4.800282558209969
Чистопольский механический колледж,Чистополь,2024,100,40,50,2,ж,2.0,0.0,89.8148971400719,34.74142448574969,33.340629329929584,2.8850360947273854,5.883050218712366,4.3344471925404315,6.727963218058924,4.326297971446764,2.282793980220279,5.62810424930114,4.729245413141231,3.9215719111061427
Набережночелнинский медицинский колледж,Набережные Челны,2019,80,50,30,2,м,1.0,1.0,73.81552292959059,16.087114997842203,15.234345941970002,6.27968355889626,9.430543666301645,4.016837380439399,9.117439364412887,5.865466061629547,2.38552107591494,2.614633951047842,2.268352968368238,7.693203906857119
Казанский колледж технологий и дизайна,Казань,2022,80,30,50,3,ж,3.0,0.0,35.65575069886297,15.857060207883498,12.578495968678798,5.479971873157544,7.241128257486892,5.172153145958096,6.266066633630486,8.138266468152187,7.716185395652648,8.793229166535916,6.981251312126376,7.494725756835973
Альметьевский политехнический колледж,Альметьевск,2021,80,30,50,0,,,,,,,,,,,,,,,
Казанский автотранспортный техникум,Казань,2018,60,50,50,0,,,,,,,,,,,,,,,
Альметьевский политехнический колледж,Альметьевск,2018,60,40,50,2,м,1.0,1.0,36.38467763658817,13.38043155842973,13.090366875250767,6.631429043072904,6.179133743450286,8.426419407456216,8.334800020092494,4.331946311217024,4.317891644226849,6.301954455579365,9.600043678186415,4.613737828897204
Альметьевский государственный нефтяной институт,Альметьевск,2021,60,50,50,4,м,4.0,1.0,54.218533029693454,22.417648494928343,14.432552897862623,9.821202427803556,2.2063817434403266,7.441306889475334,2.0432559649195063,9.705198499846215,7.317403181650879,8.285351074175871,2.190256477737189,5.672676633953987
Альметьевский политехнический колледж,Альметьевск,2022,80,50,30,3,ж,1.0,0.0,68.47521906791393,44.36574582857982,12.623668148187779,7.72535014584029,9.660007438552153,8.021854859012311,4.319287773509276,4.163398750645877,4.164610202089681,4.653107210205726,4.872757916597645,2.1353720240232352
Казанский строительный колледж,Казань,2019,60,50,40,4,ж,4.0,3.0,39.312712400208554,29.677808886753198,10.858344368374079,9.324569083135122,7.434218157500935,6.565625575386012,5.332298486127622,2.4671056279696417,3.3058098218984595,4.775088266195832,3.355210577729493,8.848619694336522
Казанский автотранспортный техникум,Казань,2023,60,30,50,3,ж,1.0,1.0,31.596286036074112,19.081452274962267,44.25469873304379,9.899936976227373,2.2743641757538207,8.533500828854478,2.7543096465277976,7.499624816559857,6.901381074493398,4.178940751865802,8.363224063504571,6.559016857243777
Набережночелнинский педагогический колледж,Набережные Челны,2020,60,50,40,5,м,2.0,2.0,50.538509606083444,29.54634634496863,26.396281660611816,4.887931661900245,2.371749026801772,7.774849505537299,8.486247676680051,5.891409323965919,3.0623807090226487,8.440466785482258,4.8835890261006405,8.50405790346683
Казанский колледж технологий и дизайна,Казань,2024,60,30,30,4,м,3.0,1.0,56.108960804503155,18.445671260840086,19.122666311121186,5.597253210188746,9.595636297810037,3.377851382552172,8.82220427822309,6.539824202338514,3.0072952567603854,9.941859677289338,2.4039216693339265,7.774103910156845
Набережночелнинский строительный колледж,Набережные Челны,2022,80,30,40,2,ж,0.0,,68.75511843767217,26.393567025288263,26.020031725285254,7.106280370087314,8.77228500119492,5.420114335774372,6.722844250666449,5.190189909649382,4.3090748212420085,4.784202886078789,6.157391142085889,6.66039997780213
Набережночелнинский медицинский колледж,Набережные Челны,2018,60,50,50,2,м,1.0,0.0,49.36893203285972,44.45303354708544,38.22150866159451,4.7791980628456505,9.37036678627787,6.2285649431525405,8.423558029808703,9.1296204276699,9.15972998206672,5.19145281313146,4.8920414753381145,9.73404256201923
Чистопольский механический колледж,Чистополь,2019,60,40,40,3,м,2.0,2.0,48.14419430611899,16.369966567190062,32.013363265615354,8.814312698938386,7.590418891854751,2.3082227543018723,4.100075542091688,3.280518136600829,3.287004693659803,2.5440987283776426,8.640704219287246,3.829698441420649
Набережночелнинский медицинский колледж,Набережные Челны,2018,100,30,50,0,,,,,,,,,,,,,,,
Чистопольский сельскохозяйственный техникум,Чистополь,2020,60,40,40,5,ж,1.0,1.0,58.45174784705759,16.70521544536579,32.101981545328,3.7658354696769045,9.754132227993974,7.995082055579106,3.05439411477081,2.9424745118575286,7.534384556686898,5.535469486955846,4.9340946202131715,6.686051949295835
Набережночелнинский политехнический колледж,Набережные Челны,2023,80,30,50,5,ж,2.0,0.0,70.65168296408669,26.409970336938024,39.43413359379426,7.107433145654168,7.8303206803203675,8.841381391317757,8.015022601616002,9.629509346776375,8.362356967684114,3.6139082194306837,9.096245272734318,4.202204745119973
Набережночелнинский педагогический колледж,Набережные Челны,2023,80,50,50,1,м,0.0,,57.68504528716035,24.609080035124556,18.434375263050203,3.950010840429642,5.627969846669417,8.046465873594741,3.0421319216301725,5.657043853436657,5.825851590448831,2.1305867745926665,9.25933231236553,4.914764630761671
Набережночелнинский машиностроительный техникум,Набережные Челны,2019,80,30,30,2,ж,0.0,,59.34707491239445,17.036267958900297,21.785990179120425,3.4810671287784425,9.466340249502519,2.1753925747743903,5.916597164719231,7.507792153118417,6.088727957307998,9.483961836318493,4.730893584889681,8.177846010896726
Альметьевский политехнический колледж,Альметьевск,2023,80,50,40,4,м,1.0,1.0,32.51607873419143,13.116053961569651,18.784947220981977,3.02486858852295,5.452581911195525,4.175131607016661,8.212063672898672,8.322948948750275,7.808288081353868,8.125204835638868,9.769961697100568,9.073036819559006
Чистопольский сельскохозяйственный техникум,Чистополь,2022,100,30,50,4,м,3.0,0.0,87.61641887789061,23.587273219683222,38.97278340497523,7.325465504418063,7.534848992225752,7.6754351607910944,4.9936982701477195,8.295325234821888,8.577374857639562,9.083141014937194,3.004799953606759,5.519540091584088
Набережночелнинский машиностроительный техникум,Набережные Челны,2024,100,40,30,3,м,1.0,0.0,82.32741497274316,13.824688336352462,26.983627515570074,2.882457242410074,4.6748711830711125,3.3858744304604604,5.975000038391072,9.62274523767632,6.655148244908408,9.067044923635308,6.680873338670825,2.468791638430038
Чистопольский сельскохозяйственный техникум,Чистополь,2019,80,30,40,1,ж,1.0,1.0,49.73358103310921,14.765589805626187,17.90457609430699,5.794512588505388,7.501636442067465,2.0163557741928297,9.507086139801457,6.310542271124239,6.3107324633440625,9.288982952915902,9.315855798059895,6.362962968484631
Альметьевский государственный нефтяной институт,Альметьевск,2024,60,50,50,0,,,,,,,,,,,,,,,
Казанский строительный колледж,Казань,2022,60,30,50,5,ж,0.0,,53.58587010700725,27.423213310774624,24.734291508745745,8.380985231952568,4.250540194347621,2.784163935896623,4.351602054924636,7.234894752345955,3.575904524990177,7.750736606168181,8.947544136129308,2.0778869913274516
Набережночелнинский медицинский колледж,Набережные Челны,2024,60,40,50,1,ж,0.0,,31.147477254992275,12.262311521828158,20.501914321945858,9.70900439410164,9.146495556529281,2.0685365547767676,4.107287886878809,3.9064118794692586,9.985954079344303,2.4322952714036266,4.850427798371411,2.2467147341830875
Чистопольский сельскохозяйственный техникум,Чистополь,2024,60,30,40,0,,,,,,,,,,,,,,,
Альметьевский государственный нефтяной институт,Альметьевск,2018,100,40,50,2,ж,2.0,2.0,34.6001914046568,37.98971301269485,25.123279536337385,9.616102472212736,2.5481045323083116,3.606747565577548,6.124312124378189,9.671085595082438,9.772953773908027,8.549895301781579,6.202157303927839,5.025028867492543
Чистопольский механический колледж,Чистополь,2020,100,50,30,0,,,,,,,,,,,,,,,
Альметьевский государственный нефтяной институт,Альметьевск,2019,60,40,30,3,м,1.0,0.0,31.54983479049639,33.52251428062826,19.77440642845892,6.1833281595558,3.4951499953571634,3.7068747114526577,7.781058873995096,2.716175567363784,8.407245085191239,5.896863568496229,5.100718811186275,8.288138055227199
Альметьевский государственный нефтяной институт,Альметьевск,2019,80,30,50,4,ж,2.0,2.0,72.21791798596259,27.31300607885265,11.265662084098306,7.342265050418034,5.024015890434334,4.7598160919345345,9.120254588728718,4.785037372401227,3.4210324199615716,5.284583028221427,6.257397197798044,8.658022020580304
Казанский автотранспортный техникум,Казань,2022,60,50,50,3,ж,1.0,0.0,40.56827934171816,47.569640853276496,36.17949103418533,3.0675354489637465,6.004585951218204,2.221473836137047,5.875062590496622,4.124127251389461,4.97693062456402,4.60982186490293,9.770601620144781,3.682791820762305
Чистопольский сельскохозяйственный техникум,Чистополь,2023,60,40,30,1,м,1.0,0.0,39.581997177075436,19.927828831162163,10.9498698064251,9.042482541679774,7.600220211081769,4.865978105026318,8.973971589568091,7.768925263484551,6.061453830201843,7.246964008796681,5.7317638216062985,7.867172059981972
Чистопольский сельскохозяйственный техникум,Чистополь,2021,80,40,50,3,м,0.0,,60.875176422087705,36.13124080127233,20.080978533388798,7.417280746772969,6.314600051680681,5.55019993994309,4.392407845912574,4.642274551935,6.130371107201636,8.853691543489585,9.390802201432408,2.232249971121009
Казанский авиационно-технический колледж,Казань,2024,80,30,40,5,м,3.0,2.0,33.027671251041184,28.791068970950178,17.561223131600954,4.32886750181636,6.515388725526959,2.4571461042240683,8.553311686975462,4.559204311733472,4.378774046527874,9.231400527436453,5.172803549174553,9.030471210017055
Чистопольский механический колледж,Чистополь,2019,80,40,40,2,м,1.0,0.0,59.65811585053626,30.0838031360309,36.0920316660967,8.613141191256661,2.1456322974606845,5.132155058256791,2.4538930286136376,5.233307041852368,9.215967561241833,6.888160767960456,8.831242479335032,4.36444825350675
Чистопольский сельскохозяйственный техникум,Чистополь,2019,80,30,50,3,ж,0.0,,55.20509600854796,19.1538479545976,23.286789831686377,7.859908699467019,8.195767864984257,2.4262114312897136,5.572897933655423,2.7393681251950257,3.6535810596136606,8.129649389643898,3.101125364354645,4.36676767549106
Чистопольский механический колледж,Чистополь,2021,100,40,40,4,ж,1.0,0.0,34.44420426345948,16.756013148856045,28.273890570482013,5.446383993801191,8.3328929252098,7.532298828359295,4.992488359335624,9.871384648153459,6.826126055803454,2.1337831587023253,4.994000744663455,8.72878254046698
