Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%)
Italy,2023,Fruits & Vegetables,31640.72,35128.75,136.76,1095.91,56.7
South Korea,2019,Frozen Food,32616.89,35818.75,105.35,39.85,39.94
Argentina,2024,Meat & Seafood,1831.93,1767.05,77.49,549.05,59.9
Indonesia,2024,Meat & Seafood,41624.99,42883.64,88.01,674.31,45.05
Germany,2020,Bakery Items,11814.13,13568.51,28.11,424.98,32.52
South Africa,2023,Beverages,26751.05,29812.25,187.89,1002.72,50.54
South Korea,2018,Frozen Food,23944.71,20221.28,92.54,1107.64,59.08
USA,2023,Bakery Items,26305.75,30688.14,128.15,1090.64,51.16
Brazil,2021,Bakery Items,5949.18,6656.14,35.46,698.43,61.48
Australia,2019,Prepared Food,46585.74,48326.86,130.56,,48.33
Russia,2021,Prepared Food,45549.05,39531.64,122.17,678.52,35.72
France,2022,Beverages,41661.37,46602.71,148.49,1234.67,34.77
South Korea,2019,Prepared Food,16087.46,17856.92,141.68,533.12,53.72
Russia,2022,Fruits & Vegetables,14859.9,-10000.0,80.6,1244.35,64.89
Australia,2024,Grains & Cereals,7890.78,9058.16,115.83,812.29,39.41
India,2018,Frozen Food,40479.28,33378.7,,1239.73,31.03
France,2021,Prepared Food,43821.83,37560.64,46.29,1239.57,69.6
Germany,2023,Dairy Products,39640.67,45257.9,172.04,884.85,44.74
Indonesia,2024,Frozen Food,44612.93,45623.52,93.88,1206.98,49.42
South Korea,2018,Dairy Products,14904.74,16441.51,99.03,726.38,53.22
Russia,2018,Meat & Seafood,5566.38,6572.58,177.5,113.24,48.79
South Africa,2024,Grains & Cereals,14103.65,12207.56,147.59,552.99,62.34
Canada,2021,Prepared Food,16718.19,15509.58,111.25,568.23,68.65
Japan,2024,Meat & Seafood,37100.54,35853.13,144.38,321.21,40.1
Australia,2019,Beverages,1160.27,1158.34,162.82,862.09,31.66
Australia,2023,Bakery Items,21391.07,21174.67,60.25,562.0,61.38
Canada,2021,Meat & Seafood,44918.63,53620.37,28.35,501.21,38.85
Russia,2021,Frozen Food,12323.57,14126.47,55.61,517.26,59.66
Australia,2024,Grains & Cereals,6128.27,5386.6,87.95,250.02,60.31
China,2018,Fruits & Vegetables,34565.34,39768.46,117.99,1266.1,44.74
Germany,2022,Prepared Food,31959.38,32497.74,168.9,213.83,60.96
Argentina,2022,Fruits & Vegetables,43281.08,38481.97,187.09,1109.48,30.44
India,2019,Frozen Food,45354.77,41336.72,99.36,464.47,69.32
Turkey,2023,Dairy Products,22963.66,24723.96,105.7,1265.02,30.8
Mexico,2022,Prepared Food,45332.39,51674.39,91.59,416.18,65.91
Canada,2019,Meat & Seafood,25633.36,28551.45,184.24,1198.29,33.35
Germany,2022,Frozen Food,5817.52,6103.72,31.06,1102.26,46.32
Canada,2023,Dairy Products,19505.47,19105.95,76.06,782.7,67.83
Germany,2024,Fruits & Vegetables,26111.99,21589.27,168.69,1172.25,50.31
Turkey,2021,Meat & Seafood,10172.69,11235.47,124.52,891.94,56.55
China,2019,Meat & Seafood,6679.89,6925.21,59.68,310.56,51.05
Brazil,2023,Meat & Seafood,2797.59,2471.74,59.14,,47.63
South Africa,2023,Beverages,16404.78,16488.93,144.96,1258.65,48.67
Germany,2020,Fruits & Vegetables,15888.42,15135.89,162.68,786.51,63.98
Turkey,2022,Beverages,13364.72,12820.98,91.65,719.34,45.88
Saudi Arabia,2022,Meat & Seafood,10015.2,11946.25,23.9,1220.39,56.67
Italy,2021,Meat & Seafood,23379.55,21260.31,97.11,1086.35,56.15
South Africa,2023,Meat & Seafood,19412.2,18532.37,36.13,813.79,36.99
Australia,2020,Fruits & Vegetables,44836.9,41938.44,116.16,180.39,49.87
South Africa,2023,Grains & Cereals,4936.9,4139.34,189.81,18.95,62.66
China,2023,Grains & Cereals,38744.41,31808.42,123.07,603.0,31.41
Turkey,2020,Beverages,33684.83,29132.81,166.19,1188.78,69.55
Spain,2019,Grains & Cereals,12016.56,10628.92,110.62,331.49,35.02
UK,2024,Grains & Cereals,38667.49,32165.91,104.41,759.94,41.99
Spain,2020,Dairy Products,8577.52,6977.24,43.44,1170.83,50.57
South Africa,2020,Beverages,34621.35,34571.13,109.1,1320.03,69.91
Italy,2024,Frozen Food,25751.15,27543.65,82.04,169.01,59.64
France,2018,Frozen Food,49713.01,49879.84,137.47,1202.49,37.7
Russia,2023,Beverages,28516.52,26477.35,110.39,1151.44,43.3
Saudi Arabia,2018,Beverages,38111.67,34589.19,193.35,1339.54,41.17
USA,2021,Dairy Products,26651.27,22800.42,195.03,1370.22,68.1
Spain,2024,Meat & Seafood,33791.28,31479.67,65.9,219.46,30.43
Germany,2019,Grains & Cereals,8253.32,8452.47,43.85,167.21,59.63
Italy,2023,Dairy Products,28851.4,25076.78,73.23,689.37,41.97
USA,2022,Meat & Seafood,26712.79,26848.34,66.14,761.93,52.13
Japan,2020,Dairy Products,33087.68,36448.18,136.76,1078.22,60.94
Canada,2021,Meat & Seafood,16557.81,18891.23,,431.46,32.06
South Africa,2024,Bakery Items,40131.85,40786.47,78.6,1385.86,58.46
Spain,2020,Frozen Food,48691.65,57588.73,185.46,882.71,67.93
Turkey,2024,Dairy Products,41633.95,38231.15,168.63,563.08,65.24
Brazil,2020,Beverages,19749.18,23429.4,66.22,832.95,58.74
USA,2022,Bakery Items,41358.45,38242.08,29.43,1344.69,69.82
France,2023,Frozen Food,1914.02,,73.57,644.03,34.79
Turkey,2022,Prepared Food,7696.78,8450.6,77.25,1340.4,41.97
Indonesia,2018,Prepared Food,44944.16,47468.77,135.79,1222.91,43.53
Saudi Arabia,2021,Fruits & Vegetables,4876.65,4178.05,35.1,,62.37
Saudi Arabia,2024,Meat & Seafood,42109.96,38051.03,121.87,153.07,65.54
South Africa,2022,Beverages,29805.05,26847.65,183.1,841.8,61.84
Saudi Arabia,2023,Fruits & Vegetables,15727.37,17797.31,172.36,1043.82,60.43
Australia,2024,Prepared Food,43312.69,36537.57,125.0,,44.99
Germany,2021,Bakery Items,4246.78,3554.71,40.91,1117.56,52.29
South Korea,2020,Frozen Food,24092.9,23745.33,105.75,149.96,36.39
Turkey,2022,Bakery Items,11754.6,13589.36,38.41,1325.99,39.56
Mexico,2019,Dairy Products,20750.01,,32.25,960.19,47.99
South Korea,2018,Prepared Food,10118.17,9315.86,147.67,1218.28,69.27
Russia,2018,Bakery Items,38704.63,45379.18,144.29,56.12,58.94
South Korea,2018,Dairy Products,2995.27,3247.61,47.23,592.16,49.19
China,2024,Bakery Items,16024.39,16640.57,20.84,1030.14,50.39
Germany,2024,Dairy Products,7521.02,6162.1,125.48,811.53,47.85
Mexico,2019,Dairy Products,34834.99,33285.12,81.9,1148.45,59.01
USA,2023,Prepared Food,35785.61,41521.98,150.06,163.45,41.76
Indonesia,2022,Bakery Items,710.96,574.69,63.36,897.31,66.63
Spain,2021,Meat & Seafood,34559.81,30645.51,160.72,744.61,41.14
Indonesia,2021,Fruits & Vegetables,46273.76,53925.1,65.3,536.6,48.94
Italy,2023,Beverages,11714.16,10116.0,103.42,918.9,31.39
Indonesia,2020,Dairy Products,47527.95,53841.19,82.62,162.27,65.0
China,2022,Meat & Seafood,26277.31,30674.72,20.75,656.63,43.06
Indonesia,2022,Bakery Items,47937.02,39218.6,164.71,953.46,38.55
Spain,2018,Meat & Seafood,32782.58,28850.82,50.32,237.61,36.67
France,2024,Meat & Seafood,19377.14,21240.56,42.61,624.77,33.3
Russia,2023,Meat & Seafood,22245.81,24544.51,153.27,,32.55
Indonesia,2023,Fruits & Vegetables,21279.19,22604.89,160.58,362.46,34.14
France,2018,Prepared Food,33292.0,35916.14,161.26,939.23,61.18
Canada,2023,Fruits & Vegetables,17628.33,20816.6,58.42,475.26,63.55
Brazil,2024,Bakery Items,49284.51,,116.39,83.06,40.09
Argentina,2020,Meat & Seafood,40388.03,42433.51,25.64,1142.48,37.64
Germany,2024,Bakery Items,24173.46,26831.34,149.3,1128.76,45.82
India,2019,Bakery Items,38833.95,44329.65,35.56,1075.19,47.95
Japan,2018,Grains & Cereals,33314.43,27333.06,145.56,1053.59,36.18
Germany,2018,Prepared Food,20966.82,19596.06,193.47,415.21,52.26
Turkey,2021,Frozen Food,14619.47,14294.85,77.72,751.85,34.39
USA,2018,Frozen Food,17195.43,16888.39,76.79,302.27,38.31
Turkey,2024,Dairy Products,10186.86,9369.44,89.42,848.93,54.29
Saudi Arabia,2020,Prepared Food,36375.37,34364.64,49.62,420.74,60.54
Germany,2024,Bakery Items,19152.44,18329.72,126.57,189.89,43.54
France,2024,Meat & Seafood,10040.72,8441.74,153.21,1034.64,31.35
Italy,2022,Prepared Food,20946.36,17515.05,161.73,517.33,62.44
Japan,2018,Prepared Food,46211.12,50732.08,34.52,272.31,67.86
Australia,2024,Bakery Items,10846.97,10032.31,45.76,1099.76,53.1
Russia,2024,Frozen Food,9049.12,7668.69,52.21,1111.26,47.61
Mexico,2019,Frozen Food,3993.22,3454.43,151.18,157.71,43.83
France,2018,Beverages,3715.38,4207.47,146.4,1024.27,65.04
Japan,2022,Beverages,4353.59,4874.66,28.05,1152.48,48.57
Turkey,2018,Grains & Cereals,38982.81,44850.25,47.51,679.57,66.72
South Korea,2022,Prepared Food,35237.47,35622.63,116.27,1369.87,53.21
Japan,2020,Grains & Cereals,2029.71,1939.64,167.54,755.19,58.22
UK,2019,Meat & Seafood,10367.07,11883.66,128.73,462.9,53.3
Italy,2021,Grains & Cereals,1709.16,1961.3,194.1,244.01,30.41
South Africa,2023,Frozen Food,22382.54,23012.5,57.26,1333.93,42.26
South Africa,2018,Prepared Food,27911.93,29353.37,35.89,728.14,38.27
Japan,2021,Frozen Food,46520.88,39478.68,151.88,999.48,35.13
Indonesia,2021,Fruits & Vegetables,39348.87,34608.37,130.96,283.67,59.29
India,2018,Fruits & Vegetables,4019.68,3411.2,133.12,402.95,44.21
Italy,2021,Beverages,42257.7,41696.28,112.7,136.47,56.2
Argentina,2021,Meat & Seafood,24444.03,26615.82,123.83,303.78,60.73
Indonesia,2020,Bakery Items,28737.94,26128.39,158.98,683.66,53.01
China,2024,Frozen Food,30243.94,26197.12,171.54,863.36,45.77
Spain,2023,Bakery Items,3663.49,4005.62,179.17,799.08,61.17
Indonesia,2019,Beverages,23745.49,20351.51,20.09,60.25,68.29
Russia,2024,Dairy Products,10931.38,12160.96,72.73,924.85,61.3
Spain,2024,Frozen Food,30509.11,31009.16,125.06,1285.88,32.4
Italy,2020,Prepared Food,28246.37,27153.02,93.73,1265.16,62.57
Japan,2019,Dairy Products,18282.9,19907.88,117.04,218.42,61.1
Turkey,2018,Bakery Items,32067.33,,67.69,1068.74,57.59
South Korea,2019,Dairy Products,47749.85,39215.5,82.49,514.45,58.21
Turkey,2019,Frozen Food,49616.19,58171.65,114.59,1286.38,52.67
South Africa,2024,Frozen Food,22627.61,26111.76,100.98,1286.39,47.63
Saudi Arabia,2022,Grains & Cereals,42281.31,42664.53,35.36,994.35,49.71
Italy,2023,Bakery Items,15102.01,16515.17,182.79,547.22,64.59
USA,2022,Dairy Products,8731.68,10040.12,63.83,543.41,42.96
Germany,2021,Prepared Food,36470.88,30124.89,123.59,655.42,35.0
Russia,2020,Beverages,40775.15,34379.38,82.52,587.4,52.07
Germany,2021,Dairy Products,14909.86,16461.12,38.66,,58.89
Indonesia,2021,Prepared Food,39451.22,41268.51,115.7,700.56,45.34
Argentina,2023,Grains & Cereals,21088.7,17571.1,178.19,1192.2,44.45
Mexico,2020,Fruits & Vegetables,49739.79,50312.88,153.39,1312.21,32.84
Italy,2023,Dairy Products,46189.14,42351.8,,,33.01
Russia,2022,Fruits & Vegetables,15263.75,14975.08,87.9,111.01,60.75
Indonesia,2024,Fruits & Vegetables,40420.06,41377.71,148.52,1078.09,66.05
Saudi Arabia,2020,Frozen Food,5522.93,4526.35,179.95,425.27,32.98
Russia,2019,Prepared Food,31130.68,34061.13,94.35,208.45,63.21
Turkey,2022,Bakery Items,6263.58,7038.29,183.38,1030.14,68.59
China,2021,Meat & Seafood,5518.25,6170.28,120.02,673.23,45.05
UK,2024,Prepared Food,20177.39,19881.84,64.67,191.53,62.55
Germany,2018,Bakery Items,42064.33,49659.0,77.1,736.15,41.98
Saudi Arabia,2021,Dairy Products,49819.32,50353.32,196.66,183.51,65.48
South Korea,2019,Beverages,562.22,627.72,122.17,462.18,61.5
USA,2024,Dairy Products,2512.68,2273.25,183.28,820.54,67.48
India,2020,Beverages,27248.63,23242.07,147.17,159.0,33.27
UK,2022,Prepared Food,44113.0,47014.28,192.98,967.44,59.65
USA,2020,Fruits & Vegetables,49940.84,58118.91,68.65,1374.62,31.97
Spain,2021,Dairy Products,30246.08,33555.87,102.26,302.73,51.56
UK,2021,Bakery Items,15441.34,15527.29,162.4,316.61,32.12
China,2023,Bakery Items,2853.19,2648.01,47.4,,45.92
Argentina,2020,Fruits & Vegetables,25553.23,27719.99,40.37,572.71,57.82
Saudi Arabia,2022,Fruits & Vegetables,16504.06,19657.42,94.68,399.1,48.13
Indonesia,2020,Frozen Food,41783.18,41756.91,139.1,1169.66,40.7
Australia,2022,Fruits & Vegetables,44744.89,37652.47,114.65,23.87,33.19
France,2022,Bakery Items,45520.34,50610.21,119.5,218.64,60.73
Japan,2022,Grains & Cereals,34191.95,27453.58,88.82,1025.12,61.86
Japan,2021,Meat & Seafood,39094.08,37554.85,60.22,782.57,47.73
UK,2020,Prepared Food,44256.46,43115.91,197.67,47.78,56.49
Germany,2021,Frozen Food,5095.01,4359.58,184.67,175.95,38.96
Brazil,2019,Beverages,22043.4,20428.03,138.39,1246.35,37.47
USA,2023,Prepared Food,10355.42,9724.63,182.31,38.82,32.02
Italy,2021,Beverages,17498.67,15495.46,62.41,977.68,42.9
Turkey,2018,Beverages,35649.51,30541.38,67.02,,35.02
Japan,2018,Bakery Items,23843.3,20013.4,114.45,1259.89,69.22
Brazil,2019,Frozen Food,46779.21,,122.27,1251.1,39.61
Canada,2023,Meat & Seafood,38683.68,46155.58,103.97,785.29,54.22
South Korea,2018,Frozen Food,4339.55,3612.6,89.44,159.97,48.97
South Korea,2018,Meat & Seafood,19881.68,23479.76,166.97,311.69,38.47
Spain,2021,Dairy Products,29565.6,24296.8,25.13,812.98,58.24
France,2021,Grains & Cereals,11217.16,9051.72,138.97,1101.37,45.37
Mexico,2019,Meat & Seafood,1423.1,1576.37,173.09,590.38,33.92
Russia,2023,Dairy Products,47943.19,55889.29,115.49,880.02,54.88
USA,2019,Frozen Food,5059.87,5395.54,129.44,305.35,38.15
Turkey,2018,Beverages,25357.01,29458.54,85.67,530.96,36.42
Russia,2019,Fruits & Vegetables,24621.86,21888.82,193.12,1238.17,52.02
Mexico,2024,Beverages,42070.19,44375.44,103.24,1127.86,36.38
France,2019,Fruits & Vegetables,28422.69,24747.99,66.73,265.49,41.64
Mexico,2021,Fruits & Vegetables,41413.4,46444.54,192.43,25.16,34.47
Japan,2018,Grains & Cereals,4550.45,4515.6,93.54,116.32,48.25
South Korea,2022,Frozen Food,44157.47,43402.56,35.06,235.52,43.08
Saudi Arabia,2021,Frozen Food,2742.85,2688.34,21.97,694.62,48.4
Russia,2021,Dairy Products,741.25,702.15,27.0,1232.46,59.3
Canada,2024,Dairy Products,39004.36,44355.91,58.31,896.32,38.52
Indonesia,2019,Dairy Products,27999.75,26735.28,92.09,593.34,33.81
Canada,2023,Meat & Seafood,24769.11,21827.22,114.9,1098.97,38.93
Indonesia,2019,Prepared Food,17252.61,17206.27,113.48,1356.95,51.55
Turkey,2018,Beverages,13524.46,16111.36,113.6,435.05,60.04
Turkey,2023,Dairy Products,45027.58,46548.39,174.97,383.44,45.99
Turkey,2018,Beverages,36240.18,36650.65,143.13,327.18,33.87
Germany,2024,Prepared Food,11296.78,11830.97,21.64,645.44,48.2
UK,2022,Prepared Food,32439.13,37580.81,164.52,696.56,56.04
South Korea,2022,Dairy Products,19720.77,22541.93,161.86,327.56,35.11
Mexico,2018,Frozen Food,6676.42,5689.53,47.56,272.96,64.83
Canada,2019,Bakery Items,26692.45,28318.78,92.95,,59.36
Turkey,2022,Grains & Cereals,29147.18,33953.62,131.16,1317.63,44.8
France,2020,Grains & Cereals,46292.03,47192.54,86.61,48.66,60.9
Turkey,2019,Frozen Food,31775.63,26989.29,,,45.83
Germany,2021,Bakery Items,2865.9,2577.98,94.54,1170.48,58.01
Turkey,2021,Fruits & Vegetables,21529.71,20410.14,57.39,791.89,37.96
Germany,2020,Bakery Items,21625.02,23407.4,143.29,1267.24,41.42
Brazil,2018,Prepared Food,22276.77,20697.1,88.31,574.44,62.44
Turkey,2024,Beverages,28825.21,30502.34,107.12,537.79,54.1
India,2024,Meat & Seafood,49234.79,57327.57,150.79,90.32,62.46
Mexico,2023,Grains & Cereals,47074.42,50848.46,128.51,124.8,64.75
USA,2021,Bakery Items,39791.06,37067.59,91.58,,36.25
Germany,2020,Prepared Food,13442.75,12803.26,183.72,770.14,69.8
Italy,2020,Prepared Food,4142.66,4272.11,110.01,340.95,39.98
Spain,2020,Beverages,42800.89,44656.16,143.31,966.42,43.15
Saudi Arabia,2024,Meat & Seafood,2040.82,1756.33,147.04,815.25,38.84
Argentina,2018,Frozen Food,7039.96,6390.6,69.37,1302.58,69.62
Italy,2023,Prepared Food,26233.47,25248.35,31.35,315.21,68.62
China,2021,Grains & Cereals,1104.25,1183.95,166.83,467.86,56.51
UK,2018,Grains & Cereals,18963.25,21817.13,88.46,97.73,51.83
France,2022,Frozen Food,10751.44,8987.4,131.56,1296.98,63.74
France,2020,Dairy Products,5843.61,,183.29,945.2,60.94
South Korea,2018,Prepared Food,23125.88,22324.7,96.26,1353.44,35.13
Germany,2021,Dairy Products,21773.82,22089.4,160.01,1007.4,40.36
Spain,2019,Prepared Food,40225.07,33391.7,57.13,975.92,66.74
China,2020,Dairy Products,12168.64,10111.49,143.16,1011.83,47.83
Canada,2023,Prepared Food,30183.19,24591.72,,695.44,51.22
India,2021,Prepared Food,23188.93,23494.56,117.77,1043.65,36.91
Turkey,2024,Grains & Cereals,26605.16,28734.29,194.42,998.99,44.43
Spain,2020,Grains & Cereals,23369.68,26085.12,153.69,1380.39,65.8
Brazil,2019,Grains & Cereals,4567.74,5391.11,160.62,397.54,57.82
Canada,2020,Prepared Food,26023.48,21343.2,177.97,739.38,49.83
Brazil,2021,Fruits & Vegetables,29731.2,32140.93,156.42,1290.77,53.64
India,2021,Frozen Food,10037.84,10618.35,107.95,1192.38,64.2
Germany,2019,Grains & Cereals,32296.3,37517.45,56.59,943.81,30.58
France,2021,Dairy Products,24049.82,21338.74,190.25,1014.36,56.71
Saudi Arabia,2019,Prepared Food,21265.21,24178.54,156.72,119.71,68.63
China,2018,Grains & Cereals,38417.13,34206.81,41.04,807.66,41.01
Mexico,2019,Grains & Cereals,20510.13,17424.62,100.61,176.55,66.27
China,2021,Fruits & Vegetables,17158.57,16538.81,131.46,1049.23,53.57
Mexico,2023,Meat & Seafood,515.3,467.63,78.96,,56.56
Argentina,2021,Prepared Food,30048.24,25327.89,138.25,750.29,64.22
Argentina,2022,Frozen Food,33412.34,34850.59,104.15,331.23,64.99
Spain,2024,Fruits & Vegetables,1128.02,1033.7,43.5,94.81,55.88
Indonesia,2023,Grains & Cereals,33312.33,35144.44,96.49,1035.22,40.92
Saudi Arabia,2020,Prepared Food,18483.82,21071.65,,143.12,48.83
USA,2019,Meat & Seafood,16844.8,17224.3,75.56,775.03,43.95
Russia,2023,Prepared Food,40030.58,42681.97,,1202.78,55.35
South Africa,2021,Meat & Seafood,39326.74,37769.88,119.13,61.81,33.36
Russia,2019,Grains & Cereals,37997.83,43183.88,104.24,268.41,61.82
Canada,2024,Meat & Seafood,29351.78,24462.85,197.13,1072.06,52.28
USA,2018,Dairy Products,36440.49,35379.59,88.45,964.19,47.68
Russia,2024,Beverages,21130.61,20784.29,188.42,444.93,63.5
China,2021,Fruits & Vegetables,36219.97,29468.1,110.18,567.52,48.61
UK,2018,Frozen Food,23048.8,27491.11,142.76,1006.54,37.02
India,2021,Prepared Food,39691.84,40555.88,29.57,1052.55,33.67
Canada,2021,Dairy Products,17352.04,19072.79,125.83,622.35,62.97
UK,2022,Frozen Food,49337.57,42934.92,103.54,482.65,32.02
Argentina,2019,Bakery Items,34188.55,27863.12,100.58,1126.98,52.19
Italy,2020,Fruits & Vegetables,14928.8,16120.56,34.49,1182.34,48.13
Mexico,2024,Fruits & Vegetables,7233.02,8039.87,55.81,751.03,58.0
India,2019,Prepared Food,30287.13,28878.12,54.33,596.44,49.38
South Africa,2022,Prepared Food,11836.21,10700.73,78.14,520.91,58.2
Mexico,2024,Grains & Cereals,32745.8,29929.73,113.34,222.23,38.08
Germany,2018,Frozen Food,39497.4,32599.41,63.46,231.18,42.32
Brazil,2019,Meat & Seafood,23334.88,19766.99,129.92,17.13,54.06
Saudi Arabia,2018,Dairy Products,18397.26,18345.47,196.15,1350.54,64.78
Brazil,2018,Frozen Food,15120.72,17927.24,144.96,557.85,42.18
Canada,2021,Prepared Food,28938.05,30887.24,42.06,492.24,52.21
Russia,2022,Fruits & Vegetables,9273.87,8570.01,126.89,1303.12,68.1
Saudi Arabia,2023,Bakery Items,46536.4,48535.68,153.28,820.64,50.26
UK,2022,Fruits & Vegetables,24194.55,24007.0,72.43,703.37,65.48
Australia,2021,Dairy Products,33322.2,39144.38,149.24,1128.83,40.92
Indonesia,2022,Meat & Seafood,47785.73,54367.08,193.43,46.42,67.79
Italy,2024,Beverages,39379.5,,135.79,627.49,30.64
Mexico,2022,Prepared Food,24836.07,23121.8,68.62,1310.94,50.31
Turkey,2020,Frozen Food,29280.98,30273.02,146.85,72.76,34.03
Indonesia,2022,Meat & Seafood,15785.95,14969.94,89.02,1219.19,42.42
UK,2023,Beverages,8414.8,9984.14,158.88,25.39,57.91
Mexico,2020,Prepared Food,28455.74,28701.79,64.52,1270.2,56.37
South Korea,2024,Meat & Seafood,6094.39,6039.23,81.14,1340.57,31.16
China,2020,Meat & Seafood,40408.04,,189.14,654.22,37.2
Spain,2019,Frozen Food,4760.53,4322.82,45.4,981.51,54.37
Italy,2021,Fruits & Vegetables,9424.16,8884.31,163.74,,67.0
Mexico,2023,Meat & Seafood,21051.75,19053.44,,173.01,65.86
Turkey,2021,Grains & Cereals,24006.25,24000.12,149.3,346.78,65.24
Spain,2024,Dairy Products,21328.53,21673.87,56.09,365.74,50.62
USA,2018,Frozen Food,13137.93,10954.87,31.67,942.49,39.17
France,2021,Prepared Food,18754.31,16020.53,60.53,1374.6,61.1
Australia,2020,Beverages,45243.85,37828.94,47.21,559.57,50.34
Saudi Arabia,2024,Dairy Products,13535.23,15210.86,,490.98,65.92
USA,2019,Frozen Food,34377.17,29072.21,140.08,984.11,58.6
Mexico,2023,Prepared Food,49852.33,49951.05,46.82,346.57,51.41
China,2020,Meat & Seafood,37063.7,38958.87,65.78,970.37,57.16
Turkey,2023,Beverages,27838.3,22942.91,107.53,768.74,49.26
Australia,2024,Fruits & Vegetables,30169.17,24451.32,145.75,560.4,38.95
Turkey,2024,Beverages,18885.14,19560.38,,294.63,35.49
Indonesia,2023,Fruits & Vegetables,11877.33,9911.33,164.78,269.03,61.79
UK,2023,Grains & Cereals,11067.52,12301.52,65.72,564.43,50.58
France,2023,Grains & Cereals,42544.59,39659.69,97.09,58.21,65.41
Germany,2018,Grains & Cereals,7027.51,6827.82,193.88,176.04,34.86
Russia,2018,Frozen Food,35652.98,29748.42,57.03,636.35,37.29
India,2019,Grains & Cereals,4349.1,5041.08,27.44,694.98,34.4
Mexico,2023,Prepared Food,35339.45,37949.35,29.39,598.35,36.17
France,2019,Grains & Cereals,37869.32,35912.22,110.44,345.33,30.04
Mexico,2024,Prepared Food,39062.57,37034.2,50.69,263.79,62.12
Russia,2019,Grains & Cereals,7977.2,9115.08,29.66,920.91,40.43
India,2019,Prepared Food,30862.47,26345.71,52.53,440.76,40.66
France,2021,Fruits & Vegetables,25913.16,23194.87,38.13,334.68,61.31
Australia,2023,Prepared Food,13625.18,13845.11,128.26,12.22,69.8
Turkey,2024,Meat & Seafood,44122.03,37487.87,81.04,552.7,31.65
Turkey,2019,Bakery Items,36208.68,36936.81,55.58,1091.48,37.89
Indonesia,2020,Frozen Food,12872.9,14389.09,51.67,482.92,32.04
Spain,2018,Grains & Cereals,26032.71,27914.26,59.22,91.28,63.83
UK,2018,Prepared Food,10099.58,10925.71,145.46,1363.87,58.7
Germany,2023,Prepared Food,9619.08,7756.08,34.24,76.2,37.21
Brazil,2018,Prepared Food,39421.13,37027.49,21.86,901.98,46.37
Italy,2020,Fruits & Vegetables,13664.52,13738.79,32.01,1166.68,64.57
Canada,2022,Fruits & Vegetables,20168.3,23300.52,150.91,941.01,68.16
France,2022,Dairy Products,36132.8,38019.37,174.75,291.54,30.7
UK,2020,Bakery Items,10908.22,11660.55,45.21,567.83,31.92
France,2018,Frozen Food,49030.39,42225.17,130.44,104.72,41.58
Canada,2023,Frozen Food,5297.17,5731.9,129.41,358.81,62.13
Spain,2020,Dairy Products,20115.27,18091.98,69.71,198.42,59.91
USA,2022,Meat & Seafood,12712.22,11265.97,31.29,1167.45,48.77
Mexico,2023,Dairy Products,17959.47,17095.59,196.54,286.94,56.39
Japan,2020,Beverages,45853.83,40973.98,150.07,52.02,68.23
Spain,2024,Frozen Food,14042.05,13913.87,159.81,671.9,58.43
Russia,2021,Prepared Food,40760.94,44617.65,112.68,753.08,66.46
Argentina,2018,Frozen Food,19119.94,22634.44,136.85,1050.84,68.84
Mexico,2019,Dairy Products,25837.28,25784.58,139.27,1154.4,58.36
South Africa,2018,Fruits & Vegetables,42649.16,45762.45,78.08,222.74,46.48
Brazil,2018,Prepared Food,27177.12,32368.17,36.91,756.31,31.44
Germany,2019,Beverages,26673.2,29875.24,179.56,237.14,46.48
Turkey,2020,Prepared Food,42303.27,44822.91,119.73,505.7,31.92
France,2020,Frozen Food,35800.0,38746.59,63.99,1012.24,40.61
France,2018,Prepared Food,22064.87,20476.45,113.47,243.26,39.82
Russia,2018,Meat & Seafood,48739.3,56192.06,28.23,219.36,65.25
Argentina,2020,Meat & Seafood,43793.47,47572.31,116.1,634.57,62.41
Russia,2020,Fruits & Vegetables,19517.83,20014.56,,699.38,63.32
South Africa,2024,Fruits & Vegetables,16963.98,19065.76,193.04,1268.4,35.61
Brazil,2024,Grains & Cereals,12092.46,10878.27,74.15,359.17,44.27
Australia,2021,Beverages,2967.07,2889.8,144.41,109.74,44.07
Argentina,2021,Grains & Cereals,33487.17,37702.25,86.33,1025.88,30.78
Japan,2018,Prepared Food,4432.12,4843.85,48.24,979.69,60.76
Japan,2020,Frozen Food,20684.6,23718.31,177.96,906.28,34.47
India,2019,Beverages,26150.78,24859.81,90.47,1312.81,52.65
Germany,2022,Frozen Food,18581.47,17912.97,25.24,636.98,46.62
India,2023,Bakery Items,32311.01,26850.99,22.03,245.47,52.84
France,2020,Beverages,46643.08,49785.97,34.1,1310.7,48.43
Italy,2024,Prepared Food,17805.95,14344.08,98.43,737.86,59.02
Argentina,2024,Bakery Items,46936.57,47407.6,87.18,1057.21,35.09
Canada,2021,Fruits & Vegetables,25147.37,24496.86,98.8,1129.85,30.55
UK,2022,Prepared Food,21406.41,22080.12,179.61,100.57,38.28
South Korea,2021,Dairy Products,5460.86,5639.52,53.64,187.44,67.54
India,2018,Meat & Seafood,25849.34,24973.6,34.31,797.25,57.02
Argentina,2024,Beverages,18433.58,16555.94,23.24,506.24,34.41
Germany,2020,Bakery Items,27535.43,24000.35,47.86,1077.77,63.83
USA,2023,Beverages,35957.36,41729.4,198.7,224.1,66.3
