Тематика,Текст обращения,Количество комментариев,Количество репостов
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,3,6
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,90,12
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,50,14
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,63,21
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,31,26
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,92,46
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,86,6
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,22,16
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,11,15
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,98,10
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,63,44
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,14,150
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,54,5
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,2,25
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,80,38
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,68,3
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,36,32
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,88,28
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,0,18
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,36,10
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,38,21
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,49,150
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,76,33
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,75,150
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,8,33
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,63,44
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,34,13
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,3,42
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,62,28
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,74,30
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,11,36
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,82,1
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,5,15
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,26,6
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,71,9
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,56,11
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,88,13
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,79,5
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,67,50
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,79,39
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,26,27
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,43,32
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,26,11
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,84,28
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,66,0
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,59,45
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,19,44
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,85,3
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,37,7
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,73,0
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,31,9
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,27,200
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,63,10
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,82,21
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,73,150
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,59,6
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,75,34
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,91,200
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,72,15
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,42,48
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,50,5
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,61,40
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,7,39
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,37,34
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,78,34
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,0,18
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,84,46
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,22,47
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,78,15
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,13,29
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,67,5
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,78,14
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,88,0
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,77,22
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,61,19
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,16,42
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,30,42
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,300,4
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,300,21
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,11,18
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,43,49
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,77,38
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,97,36
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,1,20
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,17,2
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,36,25
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,63,23
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,2,37
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,79,8
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,85,38
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,74,2
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,200,19
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,26,5
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,60,31
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,85,31
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,68,19
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,98,47
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,3,2
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,200,7
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,74,35
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,23,42
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,71,5
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,53,14
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,100,200
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,46,48
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,84,43
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,33,26
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,67,14
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,3,44
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,73,44
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,69,46
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,25,45
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,38,0
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,52,36
